篇名,作者,关键词,摘要,没有引进词表的jieba提取的中药材,引进词表的jieba提取的中药材
"""药食同源""有讲究",梁爱华,"药食同源,保健食品,白扁豆,紫苏籽,原料管理,药品,酸枣仁,八角茴香,枳椇子,郁李仁,鱼腥草,余甘子,薏苡仁,益智仁,小茴香,乌梢蛇,卫生部,肉豆蔻,蒲公英,胖大海","中国的老百姓对""药食同源""这个词并不陌生.很多人认为""药食同源""的东西是安全的,怎么吃都不会产生毒性,因为""药食同源""意味着""既是药品也是食品"",食品怎么会有毒呢?_xD_
首先让我们来看看哪些品种既是药品也是食品:丁香、八角茴香、刀豆、小茴香、小蓟、山药、山楂、马齿苋、乌梢蛇、乌梅、木瓜、火麻仁、代代花、玉竹、甘草、白芷、白果、白扁豆、白扁豆花、龙眼肉(桂圆)、决明子、百合、肉豆蔻、肉桂、余甘子、佛手、杏仁(甜、苦)、沙棘、牡蛎、芡实、花椒、赤小豆、阿胶、鸡内金、麦芽、昆布、枣(大枣、酸枣、黑枣)、罗汉果、郁李仁、金银花、青果、鱼腥草、姜(生姜、干姜)、枳椇子、枸杞子、栀子、砂仁、胖大海、茯苓、香橼、香薷、桃仁、桑叶、桑椹、橘红、桔梗、益智仁、荷叶、莱菔子、莲子、高良姜、淡竹叶、淡豆豉、菊花、菊苣、黄芥子、黄精、紫苏、紫苏籽、葛根、黑芝麻、黑胡椒、槐米、槐花、蒲公英、蜂蜜、榧子、酸枣仁、鲜白茅根、鲜芦根、蝮蛇、橘皮、薄荷、薏苡仁、薤白、覆盆子、藿香(《卫生部关于进一步规范保健食品原料管理的通知》卫法监发号).","丁香, 八角茴香, 刀豆, 小茴香, 小蓟, 山药, 山楂, 马齿苋, 乌梢蛇, 乌梅, 木瓜, 火麻仁, 玉竹, 甘草, 白芷, 白果, 白扁豆, 龙眼肉, 决明子, 百合, 肉豆蔻, 肉桂, 余甘子, 佛手, 杏仁, 沙棘, 牡蛎, 芡实, 花椒, 赤小豆, 阿胶, 鸡内金, 麦芽, 昆布, 大枣, 罗汉果, 郁李仁, 金银花, 青果, 鱼腥草, 生姜, 干姜, 枸杞子, 栀子, 砂仁, 胖大海, 茯苓, 香橼, 香薷, 桃仁, 桑叶, 桑椹, 橘红, 桔梗, 益智仁, 荷叶, 莱菔子, 莲子, 高良姜, 淡竹叶, 淡豆豉, 菊花, 菊苣, 芥子, 黄精, 紫苏, 葛根, 黑芝麻, 槐米, 槐花, 蒲公英, 蜂蜜, 榧子, 酸枣仁, 白茅根, 芦根, 蝮蛇, 橘皮, 薄荷, 薏苡仁, 薤白, 覆盆子, 藿香","丁香, 八角茴香, 刀豆, 小茴香, 小蓟, 山药, 山楂, 马齿苋, 乌梢蛇, 乌梅, 木瓜, 火麻仁, 玉竹, 甘草, 白芷, 白果, 白扁豆, 龙眼肉, 决明子, 百合, 肉豆蔻, 肉桂, 余甘子, 佛手, 杏仁, 沙棘, 牡蛎, 芡实, 花椒, 赤小豆, 阿胶, 鸡内金, 麦芽, 昆布, 大枣, 罗汉果, 郁李仁, 金银花, 青果, 鱼腥草, 生姜, 干姜, 枸杞子, 栀子, 砂仁, 胖大海, 茯苓, 香橼, 香薷, 桃仁, 桑叶, 桑椹, 橘红, 桔梗, 益智仁, 荷叶, 莱菔子, 莲子, 高良姜, 淡竹叶, 淡豆豉, 菊花, 菊苣, 芥子, 黄精, 紫苏, 葛根, 黑芝麻, 槐米, 槐花, 蒲公英, 蜂蜜, 榧子, 酸枣仁, 白茅根, 芦根, 蝮蛇, 橘皮, 薄荷, 薏苡仁, 薤白, 覆盆子, 藿香"
几种药食同源中药材的真伪鉴别,陈青,"药食同源,中药材,真伪鉴别","目的探讨常见药食同源中药材真伪鉴定方法.方法选取丁香,阿胶,金银花等几味中药材及其伪劣品作为研究对象,通过对比分析,探讨真伪之间的差别.结果真品中药材和伪品中药材在性状,味道等都有很大差别.结论当前药食同源类中药材市场混淆、掺假现象较为普遍,药店或医院的药剂师掌握正确的鉴别方法,从而为患者或消费者提供质量上乘的中药材,从而保证它们的临床疗效.","丁香, 阿胶, 金银花","丁香, 阿胶, 金银花"
河北省药食同源山楂产业发展路径及对策研究,"胡景辉,高露,雷雅坤,刘宁,李树仁,孙丽敏","山楂,药食同源,营销方式,技术需求,产业,发展路径,对策","山楂是药食同源优良树种,也是河北省特色果树之一.为深入了解河北省药食同源山楂产业发展现状,研究了我国及河北省山楂栽培情况、加工企业、加工工艺、营销方式及山楂药食同源食品的发展现状及技术需求,分析了河北省发展山楂药食同源产业的优势及劣势,提出了相应的对策建议,为今后河北省药食同源山楂产业发展提供参考.",山楂,山楂
微波消解-顺序注射原子荧光光谱法测定药食同源品中的铅,"王志宏,刘同辉,刘延学,管益涛","微波消解,顺序注射,原子荧光,铅,药食同源品","目的建立氢化物发生-原子荧光光谱法测定种药食同源品中铅的方法.方法采用微波消解仪消解样品,利用顺序注射原子荧光光谱法测定种市售药食同源品中的铅.结果方法中仪器检出限为.μg/L,工作曲线相关系数为.,相对标准偏差为.％,回收率为.％～.％.以国家标准物质茶叶作为质控样品,结果准确.结论该方法能够快速准确地检测药食同源品中的铅.","铅, 茶叶","铅, 茶叶"
三种常用中药药食同源机理初探,徐佳,"药食同源,大枣,蜂蜜,枸杞","""药食同源""是祖国医药宝库中重要的内容之一,是中医基本理论之一.充分认识药食兼用机理对正确指导药物和食品的摄入具有极其重要的临床意义.本文简述了""药食同源""的意义,并对大枣、蜂蜜、枸杞的功效、化学成分、药理作用及食用价值进行着重分析,对临床以及人们日常保健用药具有重要的指导作用.","大枣, 蜂蜜, 枸杞","大枣, 蜂蜜, 枸杞"
"""药食同源""植物提取物添加剂在猪生产上的应用研究","王建芬,陆作领,闫峻,李宁,李平,马墉,郑梓","药食同源,植物提取物,猪,生产","""药食同源""植物提取物添加剂同时具有药物和食物的特性,药物特性能够提高猪免疫力、改善猪肉品质和营养成分,食物特性使其与普通植物提取物添加剂相比饲喂动物更加安全.该文就""药食同源""植物提取物与普通植物提取物的区别和在养猪生产上的应用做以综述,为开发""药食同源""植物提取物添加剂提供参考依据.",猪肉,猪肉
两款药食同源食品的分析初探,"杨溢,阎志勇,张琛,刘晓彤,朱晓光,刘倩,谭健","药食同源,枣,枸杞","我国对药食同源食物的记载有十分悠久的历史.本文列举了我国各时期关于药食同源的著作.并且,本文介绍了药食同源源远流长的历史.而现今药食同源具有技术含量低,基础研究薄弱等等问题.本文提出了相应的对策.并且本文详细阐述了两款药食同源食品枣和枸杞.对其增强免疫力、改善睡眠、抗氧化等的具体功效进行了初探.",枸杞,枸杞
三种药食同源性中药材基于砷暴露的致癌风险评估,"朱美霖,冯宁川,闫乾顺,朱新忠","药食同源,砷污染,致癌风险,概率评估","目的评价三种药食同源性中药材(山药、山楂、红枣)中砷污染所产生的致癌风险,达到指导药食同源性中药材安全服用的目的.方法计算三种中药材中As的浓度及超标率,通过确定性评估和概率评估的方法计算As暴露引起的致癌风险,通过敏感性分析计算各参数对致癌结果的贡献率,最后反推出三种中药材中As的限量浓度.结果山药、山楂、红枣中As的超标率分别.％、.％和％,山药和山楂中As暴露所产生的致癌风险较高,而红枣所产生的致癌风险较低,并且三种中药材中As浓度对致癌结果起到决定性的作用.最后得到三种中药的As限量浓度分别为.,.,.mg/kg.结论三种药食同源性中药材中As污染并不严重,但是山药和山楂中As会引起较高的致癌风险.","山药, 山楂, 红枣","山药, 山楂, 红枣"
药食同源植物——马齿苋的研究进展,"陈珏,倪江,周德尧,邹丹蓉,龚玮","马齿苋,药食同源植物,研究进展","该文介绍了马齿苋的营养价值和保健功效,综述了其在保健品加工、饲用、生物防治病菌等方面的研究进展,对马齿苋的进一步开发和利用作了展望.",马齿苋,马齿苋
淮山药等种药食同源中药对免疫抑制小鼠免疫功能影响的对比研究,"高长曌,李方琪,严婧,高一祯,夏晶莹,郭冉冉,张玉,杨丹聃","药食同源,免疫抑制模型,中药","目的本实验选取淮山药、薏米、蒲公英、酸枣仁种日常生活常见的食物,也是中药,研究其对小鼠的免疫调控作用.方法分别设计为空白组、模型组药、淮山药组(.g/kg)、薏米组(.g/kg)、蒲公英组(.g/kg)、酸枣仁组(.g/kg).除正常组和模型组灌喂.％生理盐水外,其余各组每天灌喂次相应受试药物,连续天.给药第天起,除正常组,其余隔天注射次环磷酰胺建立免疫抑制模型.测定增重率与免疫器官脏器指数、血清溶血素、免疫球蛋白、血清IL-、IFN-γ、脾淋巴细胞增殖以及吞噬等各项指标.结果与模型组相比,种中药各项指标均有不同程度的提高.淮山药在脾脏指数、细胞免疫、吞噬等调节作用中均为相对最佳;而薏米在体液免疫的促进溶血素和多种免疫细胞因子分泌中也有相对最好效果;蒲公英能最显著提高IgG含量(P＜.),超过了正常水平;酸枣仁在提高胸腺指数作用最强(P＜.),但未恢复到正常水平.结论种不同的中药都能增强免疫抑制小鼠的免疫功能,具有开发临床免疫调节产品的潜力.","淮山药, 薏米, 蒲公英, 酸枣仁","淮山药, 薏米, 蒲公英, 酸枣仁"
贵州药食两用同源植物资源与应用探析,"夏卉芳,王毓,冉从简,张文刚","药食同源植物,资源,功效","目的探讨贵州药食同源植物资源及其应用现状,分析其在开发应用中存在的问题,并提出了相关解决对策.方法通过踏查、资料考证和文献整理对贵州地区药食同源植物资源及居民应用情况进行实地调查.结果贵州药食同源植物资源丰富,但部分应用广而少的药食同源植物缺乏保护;部分居民存在食用石蒜、商陆有毒植物,不宜作为食物.结论必须对贵州药食同源植物以建立良种培育基地和GAP种植基地保护资源;加强向居民宣传药食同源植物的毒副作用及适宜体质类型,确保人们正确地辨认并安全地食用植物.","石蒜, 商陆","石蒜, 商陆"
桑叶药食同源开发应用研究进展,"范浩,庄愉","桑叶,药食同源,化学成分,药理学,应用,研究进展","桑树是营养成分非常丰富的药食同源植物,内含多种维生素、微量元素、氨基酸、粗蛋白、植物纤维、类黄酮、生物碱和多酚类成分,具有多重药理作用,如降血糖、降血压、降血脂、减肥、抗肿瘤、抗衰老、解毒等功能.本文从桑叶药食同源、化学成分研究、药理学研究、产品综合研发等方面进行综述,以期为桑叶的开发利用提供参考.",桑叶,桑叶
种药食同源中药提取物抗氧化及抗骨质疏松活性研究,"徐飞飞,丁燕,张海东,郭盈莹,曲丹,寇自农,肖伟,朱靖博","药食同源中药,抗氧化,抗骨质疏松,薄荷,青果","通过评价种药食同源中药提取物的抗氧化及抗骨质疏松活性,筛选获得具有抗骨质疏松活性的中药.以种药食同源中药的醇提物和水提物为对象,通过测定提取物的氧自由基吸收能力、还原能力及细胞内抗氧化能力,评价其抗氧化活性.用抗酒石酸酸性磷酸酶(TRAP)染色及活性检测方法评价其抗骨质疏松活性.研究结果表明,种药食同源中药的个提取物表现出良好的抗氧化作用,可明显地抑制TRAP活性,包括花椒醇提物、薄荷醇提物及水提物、青果醇提物及水提物,且均以剂量依赖的方式抑制破骨细胞增殖及TRAP活性,当质量浓度为μg/mL时,薄荷水提物(％,％)、青果醇提物(％,％)和水提物(％,％)对破骨细胞增殖及TRAP活性的抑制效果较好,具有较强的抗骨质疏松活性.本文可为药食同源中药抗骨质疏松保健功能的开发提供理论基础.","花椒, 青果, 薄荷","花椒, 青果, 薄荷"
药食同源“角药”在养生中的应用,"冯利,赵玉玲,张健,张敏","药食同源,角药,养生,辨证论治","“药食同源”思想是我国历史悠久的一种传统养生思想,其包括中医学中的食养、食疗和药膳等内容.众所周知,某些药物本身就是食物,如薏苡仁、山楂、大枣等;而另一些食物却具有一定的治疗功能,如花椒、肉桂等.据此,文中概述了药食同源的四组“角药”在养生中的应用,意在对中医药者在运用药食同源中药辨证防治常见病的探索有所帮助,在普及食疗思想和知识的同时,重在促进我国食疗学的个性化发展.","薏苡仁, 山楂, 大枣, 花椒, 肉桂","薏苡仁, 山楂, 大枣, 花椒, 肉桂"
食药同源中药对气虚血瘀证和气滞血瘀证治疗研究概况,"李雅君,程嘉艺","食药同源,气虚血瘀,气滞血瘀","近年来,随着我国伟大中医药事业的飞速发展,食药同源中药逐渐受到人们的关注,该文根据食药同源中药其既可药用又可食补的优势,从食药同源单味中药中选出人参、当归、大枣治疗气虚血瘀证,选出山楂、姜黄、玫瑰花治疗气滞血瘀证以及食药同源中药复方配伍分别探讨其在气虚血瘀证和气滞血瘀证方面的研究,此方面研究是一个较好的思路方面,具有探讨研究的价值.","人参, 当归, 大枣, 山楂, 姜黄, 玫瑰花","人参, 当归, 大枣, 山楂, 姜黄, 玫瑰花"
基于雌激素靶标的药食同源中药抗骨质疏松活性网络药理学初探,"丁燕,孙浩,徐飞飞,曲丹,王枫琦,肖伟,朱靖博","药食同源中药,骨质疏松,网络药理学,黑芝麻,枸杞","药食同源中药以其广泛的生物活性和安全的可食性越来越受到人们的关注.如何快速筛选并明确其活性成分一直是科学研究的热点.以种药食同源中药为对象,应用网络药理学的方法,在前期工作中确定的中药雌激素相关靶标的基础上,通过构建化学成分数据库,预测生物口服利用度,计算类药性,构建分子对接及化合物-靶标网络,筛选具有潜在抗骨质疏松活性的中药,明确其具有雌激素样作用的活性成分.结果表明,种药食同源中药的个化学成分中,共有种药食同源中药的个化学成分(％)为活性成分.其中,个活性成分可与个中药雌激素样作用靶标相互作用.化合物-靶标网络进一步展现了这种药食同源中药防治骨质疏松的潜在活性.其中,黑芝麻和枸杞的潜在活性成分与靶标作用最密切,青果、山楂、甘草、莲子活性成分与靶标高度连接,表明这些活性化合物在骨质疏松防治功能方面发挥了重要作用.本研究可为药食同源中药抗骨质疏松保健功能的认识及开发提供新方法和理论依据.","黑芝麻, 枸杞, 青果, 山楂, 甘草, 莲子","黑芝麻, 枸杞, 青果, 山楂, 甘草, 莲子"
ICP-MS测定种药食同源根茎类药材中重金属含量,"张璐,姜伟,骆瑜","药食同源,根茎类中药材,ICP-MS,重金属","目的:测定种药食同源根茎类药材中重金属元素含量.方法:ICP-MS仪同时定量种药材中的铅(Pb)、镉(Cd)、汞(Hg)、砷(As)、铜(Cu)的含量.结果:各元素线性关系均良好(r>.),平均回收率为.%~.%,精密度和重复性的RSD值均小于.%.结论:对种药食同源根茎类药材质量进行危险性评估及预警分析,为制定限量标准提供基础数据.",铅,铅
